id,headline,label
1,Government providing free laptops to every student in 2025,Fake
2,Chandrayaan-3 successfully lands on the moon,True
3,COVID-19 spreads through 5G towers,Fake
4,India wins gold medal in hockey at Asian Games,True
5,Government bans onions completely in all states,Fake
6,ISRO launches Aditya-L1 to study the Sun,True
7,Drinking hot water prevents coronavirus,Fake
8,Supreme Court decriminalises homosexuality in 2018,True
9,Eating garlic can cure cancer,Fake
10,Digital India programme launched in 2015,True
11,Government deposits ₹15 lakh in every citizen's account,Fake
12,Statue of Unity is the world's tallest statue,True
13,UNESCO declared Indian national anthem the best in the world,Fake
14,Aadhaar is the world's largest biometric ID system,True
15,Drinking cow urine cures all diseases,Fake
16,India overtakes UK to become 5th largest economy,True
17,Mobile radiation causes instant brain damage,Fake
18,Polio was eradicated from India in 2014,True
19,Government distributing free petrol to all households,Fake
20,Chandrayaan-1 discovered water molecules on the moon,True
21,Government announces free WiFi for every household in India,Fake
22,India hosts the G20 Summit in 2023,True
23,Drinking alcohol kills coronavirus instantly,Fake
24,Kumbh Mela is the largest religious gathering in the world,True
25,Government bans all social media platforms in India,Fake
26,India successfully test-fires Agni-V missile,True
27,Chewing tulsi leaves cures diabetes completely,Fake
28,Rashtrapati Bhavan is the largest residence of a head of state in the world,True
29,NASA confirms Taj Mahal is visible from space,Fake
30,India launched the Swachh Bharat Mission in 2014,True
31,Using mustard oil in ears improves eyesight,Fake
32,Indian Constitution is the longest written constitution in the world,True
33,Facebook will start charging ₹500 per month in India,Fake
34,India's Mars Orbiter Mission (Mangalyaan) was launched in 2013,True
35,Cows exhale oxygen,Fake
36,Indian Railways is the 4th largest railway network in the world,True
37,Water in the Ganga river never gets polluted,Fake
38,India is the largest producer of milk in the world,True
39,The Great Wall of China is visible from India with the naked eye,Fake
40,India became independent on 15th August 1947,True
41,Hindi and English are the official languages of India,True
42,The Indian flag has 5 colors,Fake
43,India is the world's largest democracy,True
44,Lotus Temple in Delhi is made entirely of gold,Fake
45,The Himalayas are the youngest mountain range in the world,True
46,Indians don't need passports to travel abroad,Fake
47,The Himalayas are the youngest mountain range in the world,True
48,Red Fort was built by Akbar in 1800,Fake
49,Amartya Sen won the Nobel Prize in Economics in 1998,True
50,Red Fort was built by Akbar in 1800,Fake
51,The Himalayas are the youngest mountain range in the world,True
52,Lotus Temple in Delhi is made entirely of gold,Fake
53,RBI controls the monetary policy of India,True
54,Drinking Pepsi cures headaches instantly,Fake
55,The Indian Army is the second-largest standing army in the world,True
56,Qutub Minar is taller than Burj Khalifa,Fake
57,The Indian Rupee symbol was adopted in 2010,True
58,Every Indian citizen gets free flight tickets once a year,Fake
59,India has the second-largest population in the world,True
60,India has 100 states,Fake
61,India is the birthplace of chess,True
62,Gateway of India was destroyed in 2019,Fake
63,Amartya Sen won the Nobel Prize in Economics in 1998,True
64,Eating 10 mangoes gives immunity from all diseases,Fake
65,Hindi and English are the official languages of India,True
66,Gateway of India was destroyed in 2019,Fake
67,Delhi is the capital of India,True
68,Drinking Pepsi cures headaches instantly,Fake
69,India has the second-largest population in the world,True
70,Indians don't need passports to travel abroad,Fake
71,India is the birthplace of chess,True
72,Eating 10 mangoes gives immunity from all diseases,Fake
73,The Indian Rupee symbol was adopted in 2010,True
74,India banned cricket permanently in 2021,Fake
75,RBI controls the monetary policy of India,True
76,All Indian trains run on solar power,Fake
77,The Himalayas are the youngest mountain range in the world,True
78,Indians don't need passports to travel abroad,Fake
79,Delhi is the capital of India,True
80,Red Fort was built by Akbar in 1800,Fake
81,India is the largest producer of spices in the world,True
82,Gateway of India was destroyed in 2019,Fake
83,Amartya Sen won the Nobel Prize in Economics in 1998,True
84,India changed its national animal to lion in 2022,Fake
85,Rajya Sabha is the upper house of the Indian Parliament,True
86,India changed its national animal to lion in 2022,Fake
87,India has the second-largest population in the world,True
88,Mount Everest is in India,Fake
89,India is the world's largest producer of films,True
90,The Indian flag has 5 colors,Fake
91,RBI controls the monetary policy of India,True
92,India changed its national animal to lion in 2022,Fake
93,The Indian Rupee symbol was adopted in 2010,True
94,Drinking Pepsi cures headaches instantly,Fake
95,Hindi and English are the official languages of India,True
96,Indians don't need passports to travel abroad,Fake
97,Amartya Sen won the Nobel Prize in Economics in 1998,True
98,Eating 10 mangoes gives immunity from all diseases,Fake
99,Delhi is the capital of India,True
100,Narendra Modi is the first Prime Minister of India,Fake
